feathers            	    1
fur                 	    3
clinging            	    1
dripping            	    1
wet                 	    2
cross               	    1
uncomfortable       	    4
course              	   25
consultation        	    1
familiarly          	    1
known               	    1
argument            	    4
last                	   33
sulky               	    3
older               	    2
better              	   14
allow               	    3
knowing             	    2
old                 	   19
positively          	    1
refused             	    1
authority           	    2
ring                	    2
fixed               	    1
cold                	    1
ahem                	    1
important           	    7
driest              	    1
silence             	   14
whose               	    2
favoured            	    1
pope                	    1
submitted           	    1
wanted              	    4
leaders             	    1
accustomed          	    1
usurpation          	    1
conquest            	    1
edwin               	    2
morcar              	    2
earls               	    2
mercia              	    2
northumbria         	    2
ugh                 	    2
shiver              	    1
frowning            	    4
politely            	    6
proceed             	    2
declared            	    1
him                 	   43
stigand             	    1
patriotic           	    1
archbishop          	    2
canterbury          	    1
advisable           	    2
replied             	   29
crossly             	    1
means               	    5
frog                	    2
worm                	    1
notice              	    5
hurriedly           	    2
edgar               	    1
atheling            	    1
meet                	    2
offer               	    2
crown               	    3
conduct             	    1
moderate            	    1
insolence           	    1
normans             	    1
continued           	    9
turning             	   12
melancholy          	    6
solemnly            	    4
rising              	    1
move                	    3
meeting             	    1
adjourn             	    1
immediate           	    1
adoption            	    1
energetic           	    1
remedies            	    1
meaning             	    8
believe             	    9
bent                	    1
hide                	    1
smile               	    2
tittered            	    1
audibly             	    1
paused              	    1
inclined            	    1
explain             	   10
winter              	    1
race-course         	    1
circle              	    1
exact               	    1
shape               	    1
placed              	    1
three               	   26
running             	    8
liked               	    6
easy                	    2
race                	    2
hour                	    2
panting             	    2
has                 	    9
won                 	    2
pressed             	    3
forehead            	    2
position            	    2
shakespeare         	    1
rest                	   10
everybody           	    8
prizes              	    5
chorus              	    6
voices              	    3
asked               	   17
pointing            	    4
calling             	    1
confused            	    4
despair             	    1
pocket              	    5
pulled              	    1
comfits             	    2
luckily             	    2
handed              	    3
exactly             	    8
a-piece             	    1
prize               	    1
gravely             	    3
thimble             	    4
presented           	    1
acceptance          	    1
elegant             	    1
short               	    4
speech              	    3
cheered             	    3
absurd              	    2
grave               	    3
dare                	    5
laugh               	    1
simply              	    3
bowed               	    4
looking             	   30
solemn              	    3
caused              	    2
noise               	    3
confusion           	    5
complained          	    1
theirs              	    1
ones                	    1
choked              	    3
patted              	    1
begged              	    1
promised            	    1
c                   	    1
d                   	    1
added               	   23
whisper             	    3
sad                 	    3
sighing             	    3
call                	    9
fury                	    3
met                 	    3
both                	   14
law                 	    2
prosecute           	    1
denial              	    1
trial               	   10
cur                 	    1
jury                	   17
judge               	    4
wasting             	    2
breath              	    4
cunning             	    1
condemn             	    1
death               	    1
attending           	    3
humbly              	    2
fifth               	    1
bend                	    2
angrily             	    9
knot                	    2
undo                	    1
insult              	    1
mean                	   10
pleaded             	    3
easily              	    3
growled             	    1
reply               	    5
finish              	    5
story               	    8
others              	    7
joined              	    3
shook               	    9
impatiently         	    5
quicker             	    1
pity                	    3
sighed              	    5
crab                	    3
daughter            	    1
lesson              	    1
lose                	    1
temper              	    5
tongue              	    4
young               	    5
snappishly          	    1
patience            	    1
oyster              	    1
addressing          	    1
nobody              	    8
particular          	    4
venture             	    3
pet                 	    1
bird                	    2
sensation           	    2
magpie              	    1
wrapping            	    1
carefully           	    3
remarking           	    3
night-air           	    1
suit                	    3
throat              	    2
canary              	    1
bed                 	    1
various             	    1
pretexts            	    1
moved               	    5
mentioned           	    3
lonely              	    2
low-spirited        	    1
footsteps           	    2
iv                  	    1
sends               	    1
bill                	   17
executed            	    6
ferrets             	    2
where               	   15
guessed             	    3
good-naturedly      	    1
hunting             	    3
nowhere             	    2
since               	    4
swim                	    5
vanished            	    4
completely          	    1
mary                	    4
ann                 	    4
doing               	    5
run                 	    4
quick               	    2
direction           	    5
pointed             	    1
mistake             	    3
housemaid           	    1
finds               	    1
neat                	    1
brass               	    1
plate               	    3
w                   	    1
engraved            	    1
knocking            	    3
upstairs            	    1
lest                	    1
real                	    3
messages            	    2
fancying            	    1
directly            	    2
ordering            	    2
tidy                	    1
room                	   13
window              	    8
hoped               	    1
pairs               	    1
stood               	    7
looking-glass       	    1
nevertheless        	    1
uncorked            	    1
lips                	    1
interesting         	    5
whenever            	    1
expected            	    1
drunk               	    2
pressing            	    1
ceiling             	    1
stoop               	    2
save                	    1
broken              	    6
kneel               	    1
floor               	    3
effect              	    3
elbow               	    3
arm                 	   12
curled              	    2
resource            	    1
chimney             	    6
whatever            	    3
become              	    5
magic               	    1
full                	    6
grew                	    1
chance              	    4
unhappy             	    2
pleasanter          	    1
ordered             	    4
rabbits             	    1
gone                	   13
fairy-tales         	    1
fancied             	    2
write               	    6
grown               	    7
least               	    9
comfort             	    1
woman               	    2
foolish             	    1
answered            	    4
lesson-books        	    1
taking              	    5
outside             	    4
stopped             	    3
trembled            	    2
forgetting          	    3
reason              	    9
inwards             	    1
attempt             	    1
proved              	    2
failure             	    1
snatch              	    2
shriek              	    5
crash               	    3
concluded           	    2
possible            	    1
cucumber-frame      	    1
pat                 	    3
apples              	    2
yer                 	    4
honour              	    4
sounds              	    4
pronounced          	    1
arrum               	    1
goose               	    2
fills               	    1
business            	    7
whispers            	    1
coward              	    1
shrieks             	    1
cucumber-frames     	    1
pulling             	    1
hearing             	    4
rumbling            	    1
cartwheels          	    1
together            	    9
ladder              	    1
lad                 	    1
em                  	    3
tie                 	    1
rope                	    1
bear                	    2
loose               	    1
slate               	    3
below               	    3
loud                	    6
nay                 	    1
master              	    3
shy                 	    1
place               	    8
fireplace           	    1
kick                	    3
drew                	    5
scratching          	    1
scrambling          	    1
above               	    3
sharp               	    6
brandy              	    1
choke               	    1
fellow              	    4
feeble              	    2
squeaking           	    2
thank               	    4
ye                  	    1
flustered           	    1
comes               	    2
jack-in-the-box     	    1
